RRGM Dictionary Y Semantic Fingerprint Map v0.2
Internal production map for de-templated domain entries

Rule: fixed schema, bespoke semantic content.
Format: ID | headword | active domains | distinctive invariant | source relation
Y120 | yes-as-repair | [REL] | Yes-as-repair is affirmation used to reopen cooperation or accept a repair path after rupture. | unique source headword
Y121 | yard-state | [PHY],[REL] | Yard-state is the current physical and access condition of a particular yard. | unique source headword
Y122 | year-state | [REL],[DIG],[FOR] | Year-state is the current position or condition of an annual cycle, record, or plan. | unique source headword
Y123 | yellow-state | [PHY],[DIG],[LIN] | Yellow-state is the current presence, intensity, or coded use of yellow in a selected object or display. | unique source headword
Y124 | y-axis-state | [DIG],[FOR] | y-axis-state is the current configuration of a y-axis, including label, scale, units, range, and visibility. | unique source headword
Y125 | y-coordinate-state | [DIG],[FOR],[PHY] | y-coordinate-state is the current vertical position value and validity status of a selected point. | unique source headword
Y126 | y-value-state | [DIG],[FOR] | y-value-state is the current assigned, computed, missing, or invalid condition of y. | unique source headword
Y127 | y-intercept-state | [DIG],[FOR] | y-intercept-state is the current identified or unresolved status of the graph's crossing at x = 0. | unique source headword
Y128 | y-input-state | [DIG],[FOR] | y-input-state is the current availability and validity of a quantity supplied under the y label. | unique source headword
Y129 | y-output-state | [DIG],[FOR] | y-output-state is the current produced, pending, failed, or validated condition of a y-labelled result. | unique source headword
Y130 | yield-state | [PHY],[DIG],[REL] | Yield-state is the current condition of a system with respect to giving way, production, or returned output. | unique source headword
Y131 | yield-point-state | [PHY],[FOR] | Yield-point-state records how near a structure is to its declared yielding threshold and whether it has crossed it. | unique source headword
Y132 | young-state | [BIO],[FOR],[DIG] | Young-state is the recorded assessment of where one entity sits in an early-development path. | Duplicate source headword. Y132 is the operational state-record form; Y025 is the core developmental meaning.
Y133 | youth-state | [REL],[DIG],[FOR] | Youth-state is the recorded condition of a youth group or program at a selected review point. | Duplicate source headword. Y133 is the operational assessment form; Y026 is the core field meaning.
Y134 | yell-state | [BIO],[DIG],[REL] | Yell-state is the current intensity and function of an ongoing or recorded yell. | unique source headword
Y135 | yoke-state | [PHY],[REL] | Yoke-state is the current load, balance, consent, and function of a linked work structure. | unique source headword
Y136 | yesterday-state | [COG],[DIG] | Yesterday-state is the preserved condition of the immediately preceding day as reconstructed from memory or record. | unique source headword
Y137 | yearly-cycle | [PHY],[BIO],[REL],[FOR] | Yearly-cycle is a process whose phases recur approximately once per year. | unique source headword
Y138 | yearly-state | [REL],[DIG],[FOR] | Yearly-state is the current phase or status of a recurring annual process. | unique source headword
Y139 | y-axis-field | [DIG],[FOR] | y-axis-field is a coordinate or display field organized by one declared vertical reference axis. | unique source headword
Y140 | y-value-field | [DIG],[FOR] | y-value-field is the set or distribution of quantities assigned to y across cases or inputs. | unique source headword
Y141 | yield-field | [PHY],[BIO],[FOR] | Yield-field is a bounded map of how output or giving-way varies across conditions. | unique source headword
Y142 | youth-field | [REL],[BIO] | Youth-field is the social and developmental environment in which young people live, learn, and are governed. | unique source headword
Y143 | year-field | [DIG],[LIN],[FOR] | Year-field is a set of records, events, or measures organized by annual position. | unique source headword
Y144 | yesterday-field | [COG],[DIG] | Yesterday-field is the bounded collection of records and conditions attributed to the immediately preceding day. | unique source headword
Y145 | yoke-field | [REL],[PHY] | Yoke-field is a system of linked participants and burdens whose force and responsibility can travel through the bond. | unique source headword
Y146 | yard-field | [PHY],[REL] | Yard-field is the bounded outdoor area together with its access, use, maintenance, and local interactions. | unique source headword
Y147 | yellow-field | [PHY],[LIN],[DIG] | Yellow-field is a visual or symbolic field in which yellow signals are distributed and interpreted. | unique source headword
Y148 | y-output-field | [DIG],[FOR] | y-output-field is a collection of results returned as y, preserving their link to inputs and transformations. | unique source headword
Y149 | y-coordinate-field | [DIG],[FOR],[PHY] | y-coordinate-field is a set of vertical point locations defined within one coordinate frame. | unique source headword
Y150 | y-intercept-field | [DIG],[FOR] | y-intercept-field is a collection or parameter space of graph crossings with the y-axis. | unique source headword
Y151 | yes-gate | [REL],[DIG],[FOR] | Yes-gate is the decision point at which an affirmative response is evaluated or written into the record. | unique source headword
Y152 | yes-integrity | [REL],[DIG] | Yes-integrity is the condition in which an affirmation remains attributable, informed, voluntary, and correctly scoped. | unique source headword
Y153 | yes-risk | [REL],[DIG] | Yes-risk is an active audit flag that one or more conditions supporting a valid affirmation may be failing. | Duplicate source headword. Y153 is the active audit form; Y063 is the general concept.
Y154 | yes-requires-refusal | [REL],[FOR] | Yes-requires-refusal is the rule that affirmation has full permission value only where refusal was a live option. | unique source headword
Y155 | yes-without-refusal-error | [REL],[DIG] | Yes-without-refusal-error is counting an affirmative response as valid permission when refusal could not meaningfully occur. | unique source headword
Y156 | yes-without-boundary-risk | [REL],[DIG] | Yes-without-boundary-risk is exposure created when an affirmation has no declared limit and may be treated as unlimited. | unique source headword
Y157 | yes-under-pressure-risk | [REL],[COG] | Yes-under-pressure-risk is the possibility that coercive cost shaped the affirmative response. | unique source headword
Y158 | yes-through-coupling | [REL],[COG],[DIG] | Yes-through-coupling is affirmation formed within an ongoing relation whose trust and shared context help carry meaning. | unique source headword
Y159 | yield-gate | [PHY],[DIG],[REL] | Yield-gate is the condition that decides when resistance ends, output is released, or control is passed. | unique source headword
Y160 | yield-integrity | [PHY],[DIG],[REL] | Yield-integrity is giving way or producing output without corrupting the process, source, or continuing structure. | unique source headword
Y161 | yield-risk | [PHY],[DIG],[REL] | Yield-risk is an active audit flag that current yielding conditions may be approaching collapse, coercion, or irreversible loss. | Duplicate source headword. Y161 is the operational audit form; Y072 is the general concept.
Y162 | yield-not-erasure | [REL],[PHY],[DIG] | Yield-not-erasure is the rule that giving way changes position or form without automatically deleting identity or continuity. | unique source headword
Y163 | yield-not-consent-error | [REL],[LIN] | Yield-not-consent-error is treating submission, deformation, or pressure response as voluntary permission. | unique source headword
Y164 | you-gate | [LIN],[DIG],[REL] | You-gate is the reference point where a message selects and engages its addressee. | unique source headword
Y165 | you-integrity | [REL],[LIN] | You-integrity is accurate, non-reductive representation of the person or agent addressed as you. | unique source headword
Y166 | you-risk | [REL],[LIN] | You-risk is the possibility that direct address misidentifies, pressures, accuses, or overclaims the addressee. | unique source headword
Y167 | yourself-gate | [COG],[LIN],[DIG] | Yourself-gate is the point where a prompt or action turns the addressee toward self-reference or self-directed choice. | unique source headword
Y168 | yourself-integrity | [COG],[REL],[DIG] | Yourself-integrity is coherence between self-reference, memory, boundary, and self-directed action. | unique source headword
Y169 | yourself-risk | [COG],[REL] | Yourself-risk is the possibility that self-reference becomes distorted, coerced, fragmented, or used for self-erasure. | unique source headword
Y170 | youth-gate | [REL],[FOR] | Youth-gate is a decision point where youth status changes access, duty, protection, or participation. | unique source headword
Y171 | youth-integrity | [REL],[BIO] | Youth-integrity is preserved development, dignity, safety, voice, and continuity of young people. | unique source headword
Y172 | youth-risk | [REL],[DIG] | Youth-risk is an active assessment that a youth field contains a named threat to development, dignity, safety, or voice. | Duplicate source headword. Y172 is the active assessment form; Y077 is the general concept.
Y173 | yesterday-gate | [COG],[DIG] | Yesterday-gate is the retrieval and verification point through which near-past information enters current reasoning. | unique source headword
Y174 | yesterday-integrity | [COG],[DIG],[REL] | Yesterday-integrity is agreement between the near-past account, its sequence, and available supporting records. | unique source headword
Y175 | yesterday-risk | [COG],[REL],[DIG] | Yesterday-risk is the possibility that near-past events are forgotten, altered, or used without their original context. | unique source headword
Y176 | y-axis-gate | [DIG],[FOR] | y-axis-gate is the validation point that decides whether a vertical reference axis is sufficiently defined for use. | unique source headword
Y177 | y-axis-integrity | [DIG],[FOR] | y-axis-integrity is coherence among the axis label, units, scale, origin, direction, and plotted data. | unique source headword
Y178 | y-value-risk | [DIG],[FOR] | y-value-risk is the possibility that a quantity assigned to y is missing, mis-scaled, out of range, or detached from its source. | unique source headword
Y179 | yoke-capture | [REL] | Yoke-capture is a coupled burden that has become control by removing meaningful refusal or exit. | unique source headword
Y180 | yes-as-MI-permission | [REL],[DIG],[FOR] | Yes-as-MI-permission is RRGM affirmation that permits a specified identity-valid expression to count. | unique source headword
